NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS; Nº ALUNOS 
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;8;30806;HELEN KELLER;Venezuela; 6 
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;8;31112;FLEURIDES CAVALLINI MENECHINO PROFA;Japão; 1 
ESTADUAL - SE;ADAMANTINA;ADAMANTINA;ADAMANTINA;8;31112;FLEURIDES CAVALLINI MENECHINO PROFA;Venezuela; 4 
ESTADUAL - SE;ADAMANTINA;JUNQUEIROPOLIS;JUNQUEIROPOLIS;8;31525;IDENE RODRIGUES DOS SANTOS PROF;Japão; 1 
ESTADUAL - SE;ADAMANTINA;LUCELIA;LUCELIA;8;578915;PROFESSOR CARLOS UMBERTO CARRARA;Japão; 1 
ESTADUAL - SE;ADAMANTINA;LUCELIA;LUCELIA;8;578915;PROFESSOR CARLOS UMBERTO CARRARA;Malta; 1 
ESTADUAL - SE;ADAMANTINA;NOVA GUATAPORANGA;NOVA GUATAPORANGA;8;31422;JACINTO PERNAS GOMATO;Japão; 1 
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;31574;BENJAMIN CONSTANT;Venezuela; 2 
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;31616;OSVALDO MARTINS;Venezuela; 1 
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;31636;DOM BOSCO;Tanzânia; 2 
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;31636;DOM BOSCO;Venezuela; 2 
ESTADUAL - SE;ADAMANTINA;OSVALDO CRUZ;OSVALDO CRUZ;8;922584;MARIA APARECIDA LOPES PROFA;Venezuela; 2 
ESTADUAL - SE;ADAMANTINA;OURO VERDE;OURO VERDE;8;31446;FERDINANDO IENNY;Angola; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;3;980055;CEEJA ALDA MARANGONI FRANCA PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;3;980055;CEEJA ALDA MARANGONI FRANCA PROFA;Haiti; 46 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;3;980055;CEEJA ALDA MARANGONI FRANCA PROFA;Japão; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;3;980055;CEEJA ALDA MARANGONI FRANCA PROFA;Paraguai; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;11873;LUIZ HIPOLITO PROFESSOR;Bolívia; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16949;OCTAVIO SOARES DE ARRUDA PROF;Alemanha; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16950;RISOLETA LOPES ARANHA PROFESSORA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16950;RISOLETA LOPES ARANHA PROFESSORA;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16962;SILVINO JOSE DE OLIVEIRA PROF;Bolívia; 3 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16962;SILVINO JOSE DE OLIVEIRA PROF;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16962;SILVINO JOSE DE OLIVEIRA PROF;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16974;SAO VICENTE DE PAULO;Bolívia; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16974;SAO VICENTE DE PAULO;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16974;SAO VICENTE DE PAULO;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16998;ALCINDO SOARES DO NASCIMENTO PROF;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;16998;ALCINDO SOARES DO NASCIMENTO PROF;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17139;MARIA JOSE DE MATTOS GOBBO PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17139;MARIA JOSE DE MATTOS GOBBO PROFA;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17139;MARIA JOSE DE MATTOS GOBBO PROFA;Venezuela; 5 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17140;MARIO PATARRA FRATTINI PROF;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17140;MARIO PATARRA FRATTINI PROF;Colômbia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17140;MARIO PATARRA FRATTINI PROF;Irão; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17140;MARIO PATARRA FRATTINI PROF;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17152;MAURA ARRUDA GUIDOLIN PROFA;Bolívia; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17152;MAURA ARRUDA GUIDOLIN PROFA;Haiti; 4 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17164;JOAO DE CASTRO GONCALVES DR;Venezuela; 3 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17176;MAGI MONSENHOR;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17176;MAGI MONSENHOR;China; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17176;MAGI MONSENHOR;Peru; 4 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17176;MAGI MONSENHOR;Venezuela; 10 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17188;ARY MENEGATTO PROF;Bolívia; 26 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17188;ARY MENEGATTO PROF;Chile; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17188;ARY MENEGATTO PROF;Haiti; 4 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17188;ARY MENEGATTO PROF;Venezuela; 3 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17197;DELMIRA DE OLIVEIRA LOPES PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17206;HEITOR PENTEADO DR;Argentina; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17206;HEITOR PENTEADO DR;Bolívia; 4 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17206;HEITOR PENTEADO DR;Haiti; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17206;HEITOR PENTEADO DR;Venezuela; 6 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17218;DILECTA CENEVIVA MARTINELLI PROFA;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17218;DILECTA CENEVIVA MARTINELLI PROFA;Venezuela; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17224;JOAO XXIII;África do Sul; 1 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17224;JOAO XXIII;Bolívia; 3 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17322;JOAO SOLIDARIO PEDROSO PROF;Bolívia; 2 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17322;JOAO SOLIDARIO PEDROSO PROF;Venezuela; 7 
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;8;17334;OLYMPIA BARTH DE OLIVEIRA PROFA;Bolívia; 7 
